year,name,house,pop,popm,popf,foreign,density,area,numhouse,old65
1991,합계,3330317,10904527,5485353,5419174,,18014,605.33,3.27,
1991,종로구,78169,236806,119127,117679,,9865,24.01,3.03,
1991,중구,61495,184142,93312,90830,,18438,9.99,2.99,
1991,용산구,96696,294341,147914,146427,,13460,21.87,3.04,
1991,성동구,244272,789014,401375,387639,,23273,33.9,3.23,
1991,동대문구,149914,479776,242828,236948,,32477,14.77,3.2,
1991,중랑구,132908,450728,227075,223653,,24866,18.13,3.39,
1991,성북구,165634,542532,273509,269023,,22329,24.3,3.28,
1991,도봉구,221001,744880,373908,370972,,16721,44.55,3.37,
1991,노원구,161450,525500,263000,262500,,14758,35.61,3.25,
1991,은평구,147331,495530,245477,250053,,16699,29.67,3.36,
1991,서대문구,127136,392586,196281,196305,,22192,17.69,3.09,
1991,마포구,140847,442271,220887,221384,,18526,23.87,3.14,
1991,양천구,150598,508001,255927,252074,,28921,17.57,3.37,
1991,강서구,121174,408676,205712,202964,,9862,41.44,3.37,
1991,구로구,228191,747623,381977,365646,,22795,32.8,3.28,
1991,영등포구,141789,462359,233772,228587,,18922,24.44,3.26,
1991,동작구,133178,429173,216432,212741,,26206,16.38,3.22,
1991,관악구,177430,588638,298078,290560,,19855,29.65,3.32,
1991,서초구,125754,420783,208731,212052,,8852,47.53,3.35,
1991,강남구,150682,517218,258052,259166,,13271,38.97,3.43,
1991,송파구,207969,688121,342060,346061,,20371,33.78,3.31,
1991,강동구,166699,555829,279919,275910,,22744,24.44,3.33,
1992,합계,3383169,10969862,5519096,5450766,34632,18121,605.36,3.24,434348
1992,종로구,75752,227988,114648,113340,1748,9496,24.01,3.01,12096
1992,중구,59667,176836,89537,87299,2231,17701,9.99,2.96,8857
1992,용산구,96832,287124,144600,142524,6453,13135,21.86,2.97,13957
1992,성동구,244888,780526,397121,383405,2141,22991,33.95,3.19,28493
1992,동대문구,149094,470594,238385,232209,751,31862,14.77,3.16,19142
1992,중랑구,136876,458391,230937,227454,282,25284,18.13,3.35,15849
1992,성북구,163995,527296,266530,260766,1353,21699,24.3,3.22,23020
1992,도봉구,229923,766799,385385,381414,824,17212,44.55,3.34,29689
1992,노원구,174005,571833,284049,287784,662,16049,35.63,3.29,24345
1992,은평구,153700,507551,251514,256037,857,17107,29.67,3.3,20672
1992,서대문구,122844,390140,195000,195140,2939,22054,17.69,3.18,17175
1992,마포구,139628,432453,216103,216350,1803,18125,23.86,3.1,19178
1992,양천구,150749,508096,255938,252158,955,28918,17.57,3.37,18625
1992,강서구,132114,437932,219591,218341,602,10573,41.42,3.31,16907
1992,구로구,229614,738914,378569,360345,774,22528,32.8,3.22,23553
1992,영등포구,141916,453256,229476,223780,1165,18546,24.44,3.19,16577
1992,동작구,134670,427486,215826,211660,761,26114,16.37,3.17,17142
1992,관악구,181386,589655,299359,290296,484,19887,29.65,3.25,20460
1992,서초구,126592,419765,208470,211295,2588,8865,47.35,3.32,17488
1992,강남구,165325,559068,278053,281015,2948,14280,39.15,3.38,23984
1992,송파구,208638,689419,343176,346243,1631,20409,33.78,3.3,26144
1992,강동구,164961,548740,276829,271911,680,22453,24.44,3.33,20995
1993,합계,3430528,10925464,5496638,5428826,35965,18047,605.4,3.18,444277
1993,종로구,74952,222423,111786,110637,1374,9264,24.01,2.97,12441
1993,중구,57566,167383,84721,82662,2254,16755,9.99,2.91,8909
1993,용산구,94248,276439,138562,137877,5060,12646,21.86,2.93,14392
1993,성동구,245399,767976,390698,377278,2032,22627,33.94,3.13,28993
1993,동대문구,148308,459000,232465,226535,851,31076,14.77,3.09,19346
1993,중랑구,140153,460157,232055,228102,339,25381,18.13,3.28,16205
1993,성북구,163286,514240,260126,254114,1453,21162,24.29,3.15,23506
1993,도봉구,238014,780472,392106,388366,862,17519,44.55,3.28,30874
1993,노원구,180152,588188,292198,295990,789,16522,35.6,3.26,25492
1993,은평구,157781,512196,253810,258386,735,17257,29.68,3.25,21266
1993,서대문구,123155,381905,190864,191041,3331,21589,17.69,3.1,17428
1993,마포구,138755,422406,211254,211152,1833,17704,23.86,3.04,19474
1993,양천구,150976,499848,252251,247597,1121,28449,17.57,3.31,18572
1993,강서구,144770,474434,237793,236641,791,11454,41.42,3.28,18774
1993,구로구,229870,724230,371238,352992,1302,22080,32.8,3.15,23671
1993,영등포구,143124,445221,225568,219653,1302,18217,24.44,3.11,16722
1993,동작구,141571,440361,222150,218211,908,26900,16.37,3.11,18126
1993,관악구,186324,590442,299756,290686,631,19914,29.65,3.17,20861
1993,서초구,127335,410719,203981,206738,2726,8680,47.32,3.23,17383
1993,강남구,170433,566379,281304,285075,3587,14426,39.26,3.32,24757
1993,송파구,210844,685260,341403,343857,1821,20310,33.74,3.25,26266
1993,강동구,163512,535785,270549,265236,863,21905,24.46,3.28,20819
1994,합계,3455665,10798700,5429554,5369146,39246,17836,605.43,3.12,453369
1994,종로구,73798,214930,107877,107053,1743,8989,23.92,2.91,12712
1994,중구,55032,156302,79110,77192,2401,15677,9.97,2.84,8913
1994,용산구,94534,268689,134290,134399,4501,12286,21.87,2.84,14860
1994,성동구,244808,753072,382753,370319,2258,22221,33.89,3.08,29570
1994,동대문구,146186,443027,224533,218494,959,31199,14.2,3.03,19615
1994,중랑구,141855,457749,230709,227040,402,24716,18.52,3.23,16539
1994,성북구,162700,503536,254520,249016,1569,20511,24.55,3.09,23926
1994,도봉구,240545,775394,389155,386239,980,17432,44.48,3.22,31989
1994,노원구,182015,589582,292659,296923,825,16613,35.49,3.24,25895
1994,은평구,161212,511788,253362,258426,844,17261,29.65,3.17,21674
1994,서대문구,123325,374662,187350,187312,3572,21288,17.6,3.04,17825
1994,마포구,138685,412484,206014,206470,1913,17280,23.87,2.97,19781
1994,양천구,151076,492449,248530,243919,1170,28302,17.4,3.26,18702
1994,강서구,157418,508345,254121,254224,936,12276,41.41,3.23,20872
1994,구로구,225738,698274,358478,339796,2214,21211,32.92,3.09,23588
1994,영등포구,142594,433512,219952,213560,1452,17651,24.56,3.04,16985
1994,동작구,144123,440651,222206,218445,952,26951,16.35,3.06,18867
1994,관악구,186689,578658,293796,284862,681,19569,29.57,3.1,21075
1994,서초구,131546,412315,204524,207791,3154,8735,47.2,3.13,17742
1994,강남구,177641,572311,283965,288346,3813,14471,39.55,3.22,25087
1994,송파구,212950,680067,338608,341459,2048,20067,33.89,3.19,26471
1994,강동구,161195,520903,263042,257861,859,21192,24.58,3.23,20681
1995,합계,3448124,10595943,5326022,5269921,45072,17491,605.78,3.07,458918
1995,종로구,72488,204733,102852,101881,1647,8559,23.92,2.82,12624
1995,중구,53096,145646,73608,72038,2508,14608,9.97,2.74,8847
1995,용산구,93163,260993,130403,130590,6414,11934,21.87,2.8,15125
1995,성동구,113262,342648,174128,168520,1066,20347,16.84,3.03,15036
1995,광진구,129613,391148,198273,192875,1228,22941,17.05,3.02,14859
1995,동대문구,141352,420069,212978,207091,1084,29582,14.02,2.97,19398
1995,중랑구,142869,454951,229048,225903,417,24565,18.52,3.18,17130
1995,성북구,163304,497614,251559,246055,1877,20269,24.55,3.05,24537
1995,강북구,124571,395078,197924,197154,530,16734,23.61,3.17,16992
1995,도봉구,117150,374271,188030,186241,641,17942,20.86,3.19,15637
1995,노원구,185912,599462,297320,302142,933,16891,35.49,3.22,26969
1995,은평구,161512,503272,249383,253889,962,16939,29.71,3.12,22036
1995,서대문구,125996,371449,185556,185893,4131,21105,17.6,2.95,18413
1995,마포구,136891,400409,199823,200586,2181,16775,23.87,2.93,19973
1995,양천구,150868,487130,245734,241396,1353,27996,17.4,3.23,19038
1995,강서구,165058,523606,261503,262103,1197,12644,41.41,3.17,22066
1995,구로구,124797,383224,196935,186289,1017,19019,20.15,3.07,13884
1995,금천구,94341,284609,146001,138608,1520,21759,13.08,3.02,9616
1995,영등포구,140305,417914,211982,205932,1864,17016,24.56,2.98,17176
1995,동작구,145265,436684,220287,216397,1083,26709,16.35,3.01,19276
1995,관악구,183849,558462,283658,274804,809,18886,29.57,3.04,20959
1995,서초구,131800,407887,202273,205614,2969,8644,47.19,3.09,17947
1995,강남구,179387,559032,277480,281552,4459,14135,39.55,3.12,24483
1995,송파구,212400,669042,333328,335714,2236,19742,33.89,3.15,26466
1995,강동구,158875,506610,255956,250654,946,20611,24.58,3.19,20431
1996,합계,3456575,10469852,5258247,5211605,51776,17289,605.58,3.03,467766
1996,종로구,72027,199475,100075,99400,1912,8339,23.92,2.77,12876
1996,중구,50141,134839,68090,66749,2650,13524,9.97,2.69,8610
1996,용산구,92705,255024,127321,127703,7330,11661,21.87,2.75,15400
1996,성동구,110970,331206,168073,163133,1292,19668,16.84,2.98,15102
1996,광진구,132324,392217,198786,193431,1478,23004,17.05,2.96,15327
1996,동대문구,136771,399280,202162,197118,1220,28079,14.22,2.92,19389
1996,중랑구,152349,478390,240512,237878,540,25817,18.53,3.14,18694
1996,성북구,162195,487404,245926,241478,2164,19854,24.55,3.01,24843
1996,강북구,121348,379695,189901,189794,633,16102,23.58,3.13,17066
1996,도봉구,119881,382424,191956,190468,959,18350,20.84,3.19,16304
1996,노원구,182025,586997,290909,296088,1090,16554,35.46,3.22,27357
1996,은평구,162474,498532,247166,251366,1115,16780,29.71,3.07,22668
1996,서대문구,127125,366134,182525,183609,4605,20803,17.6,2.88,18804
1996,마포구,137591,393040,195689,197351,2209,16466,23.87,2.86,20338
1996,양천구,151955,486839,245520,241319,1342,27963,17.41,3.2,19569
1996,강서구,167739,524006,261657,262349,1366,12657,41.4,3.12,22690
1996,구로구,124734,378676,194452,184224,1285,18821,20.12,3.04,14318
1996,금천구,92406,273867,140227,133640,2149,21067,13,2.96,9674
1996,영등포구,138663,408087,206994,201093,2761,16616,24.56,2.94,17634
1996,동작구,145735,434873,219096,215777,1265,26598,16.35,2.98,19843
1996,관악구,181947,543314,275959,267355,989,18374,29.57,2.99,21093
1996,서초구,135209,408781,202861,205920,3038,8672,47.14,3.02,18113
1996,강남구,184039,557533,276434,281099,4765,14097,39.55,3.03,24518
1996,송파구,216205,671560,334513,337047,2573,19816,33.89,3.11,27007
1996,강동구,158017,497659,251443,246216,1046,20247,24.58,3.15,20529
1997,합계,3498506,10389057,5214266,5174791,52923,17157,605.52,2.97,485347
1997,종로구,72919,196611,98650,97961,1915,8220,23.92,2.7,13285
1997,중구,49516,129680,65501,64179,2788,13007,9.97,2.62,8870
1997,용산구,91201,245683,122648,123035,7379,11234,21.87,2.69,15767
1997,성동구,111887,326026,165350,160676,1411,19360,16.84,2.91,15756
1997,광진구,136909,397824,200858,196966,1244,23333,17.05,2.91,16030
1997,동대문구,136360,389281,197181,192100,1109,27376,14.22,2.85,20156
1997,중랑구,154699,475662,239097,236565,573,25698,18.51,3.07,19512
1997,성북구,162586,478812,241471,237341,2310,19504,24.55,2.94,25661
1997,강북구,119941,368412,183966,184446,625,15624,23.58,3.07,17493
1997,도봉구,123055,388620,194957,193663,812,18657,20.83,3.16,17372
1997,노원구,183891,587428,290756,296672,1144,16566,35.46,3.19,28688
1997,은평구,163671,491677,243817,247860,1177,16555,29.7,3,23607
1997,서대문구,125092,358995,178743,180252,4911,20397,17.6,2.87,19609
1997,마포구,140517,391116,194495,196621,2380,16385,23.87,2.78,21263
1997,양천구,153792,485914,245073,240841,1376,27926,17.4,3.16,20381
1997,강서구,169412,519554,259169,260385,1487,12550,41.4,3.07,23383
1997,구로구,126507,377660,193475,184185,1224,18780,20.11,2.99,14943
1997,금천구,93448,272740,139616,133124,1976,20964,13.01,2.92,10082
1997,영등포구,142076,406841,206366,200475,2824,16558,24.57,2.86,18460
1997,동작구,147954,432300,218004,214296,1350,26440,16.35,2.92,20731
1997,관악구,182821,534620,271830,262790,1043,18086,29.56,2.92,21748
1997,서초구,137679,407122,201900,205222,3616,8638,47.13,2.96,18397
1997,강남구,190255,555355,274650,280705,4552,14042,39.55,2.92,25012
1997,송파구,222544,677214,337369,339845,2637,19983,33.89,3.04,28128
1997,강동구,159774,493910,249324,244586,1060,20094,24.58,3.09,21013
1998,합계,3458511,10321496,5173556,5147940,50990,17046,605.52,2.98,505438
1998,종로구,69668,190619,95645,94974,1887,7972,23.91,2.74,13464
1998,중구,46072,125050,63028,62022,2550,12543,9.97,2.71,9101
1998,용산구,88418,246613,122746,123867,7331,11276,21.87,2.79,16584
1998,성동구,110157,323230,163630,159600,1285,19194,16.84,2.93,16448
1998,광진구,136557,397325,200123,197202,1404,23304,17.05,2.91,16738
1998,동대문구,132854,378953,192035,186918,1229,26668,14.21,2.85,20882
1998,중랑구,152846,467538,234830,232708,537,25259,18.51,3.06,20344
1998,성북구,162931,481101,242069,239032,2271,19597,24.55,2.95,27185
1998,강북구,117701,361424,180463,180961,610,15308,23.61,3.07,18185
1998,도봉구,119744,381602,191276,190326,758,18329,20.82,3.19,18005
1998,노원구,186639,595891,295026,300865,1040,16809,35.45,3.19,30227
1998,은평구,159865,480974,238713,242261,1133,16184,29.72,3.01,24667
1998,서대문구,126787,366726,182269,184457,4993,20837,17.6,2.89,20905
1998,마포구,137955,386880,192069,194811,2330,16208,23.87,2.8,22080
1998,양천구,152339,484907,244244,240663,1233,27852,17.41,3.18,21131
1998,강서구,168867,517881,257979,259902,1291,12512,41.39,3.07,24492
1998,구로구,127187,381794,195131,186663,1171,18985,20.11,3,15797
1998,금천구,91842,273712,140008,133704,1436,21055,13,2.98,10779
1998,영등포구,139414,406019,205372,200647,2639,16532,24.56,2.91,19464
1998,동작구,145440,425942,214410,211532,1306,26051,16.35,2.93,21716
1998,관악구,181105,526742,267808,258934,1013,17819,29.56,2.91,22637
1998,서초구,137470,404765,200242,204523,3586,8586,47.14,2.94,18884
1998,강남구,188690,554858,273673,281185,4471,14029,39.55,2.94,25429
1998,송파구,220138,671406,334022,337384,2527,19811,33.89,3.05,28905
1998,강동구,157825,489544,246745,242799,959,19916,24.58,3.1,21389
1999,합계,3490616,10321449,5170662,5150787,57189,17046,605.52,2.94,530190
1999,종로구,69581,188865,94763,94102,2275,7899,23.91,2.68,13988
1999,중구,47969,129061,64853,64208,2807,12945,9.97,2.63,9666
1999,용산구,88684,245716,122288,123428,8227,11235,21.87,2.68,17267
1999,성동구,117701,340704,172208,168496,1529,20232,16.84,2.88,18142
1999,광진구,136023,391705,197014,194691,1644,22974,17.05,2.87,17236
1999,동대문구,130678,368368,186801,181567,1343,25923,14.21,2.81,21711
1999,중랑구,152485,462434,232430,230004,697,24983,18.51,3.03,21227
1999,성북구,162442,475466,239028,236438,2537,19367,24.55,2.91,28302
1999,강북구,116512,352851,176210,176641,709,14945,23.61,3.02,19163
1999,도봉구,119418,376133,188468,187665,858,18066,20.82,3.14,18735
1999,노원구,195469,618771,306562,312209,1271,17455,35.45,3.16,32524
1999,은평구,158681,473716,235465,238251,1252,15939,29.72,2.98,25967
1999,서대문구,129403,371240,184227,187013,5457,21093,17.6,2.83,22304
1999,마포구,140081,387701,192266,195435,2587,16242,23.87,2.75,23017
1999,양천구,152133,481622,242592,239030,1309,27664,17.41,3.16,21811
1999,강서구,171724,521284,259385,261899,1498,12594,41.39,3.03,25811
1999,구로구,132543,396644,202103,194541,1350,19724,20.11,2.98,17243
1999,금천구,91493,270458,138340,132118,1829,20804,13,2.94,11299
1999,영등포구,141023,407176,206215,200961,2870,16579,24.56,2.87,20686
1999,동작구,143849,420564,211425,209139,1403,25723,16.35,2.91,22801
1999,관악구,181196,518774,263927,254847,1222,17550,29.56,2.86,23496
1999,서초구,138329,404961,199979,204982,4011,8591,47.14,2.9,19546
1999,강남구,192164,557257,274013,283244,4964,14090,39.55,2.87,26431
1999,송파구,221483,668421,332246,336175,2503,19723,33.89,3.01,29611
1999,강동구,159552,491557,247854,243703,1037,19998,24.58,3.07,22206
2000,합계,3540492,10373234,5198186,5175048,61920,17132,605.5,2.91,558566
2000,종로구,69935,188946,94923,94023,2568,7902,23.91,2.67,14489
2000,중구,53964,144074,72353,71721,3064,14465,9.96,2.61,10624
2000,용산구,90547,248794,123677,125117,8707,11376,21.87,2.65,18103
2000,성동구,119842,342508,173244,169264,1718,20339,16.84,2.84,19155
2000,광진구,137934,393055,197922,195133,1746,23053,17.05,2.84,18061
2000,동대문구,136644,382122,193672,188450,1678,26872,14.22,2.78,23491
2000,중랑구,153386,459255,231171,228084,815,24811,18.51,2.99,22469
2000,성북구,159916,463488,233027,230461,2626,18864,24.57,2.88,29470
2000,강북구,117886,352772,176167,176605,777,14942,23.61,2.99,20564
2000,도봉구,118807,371932,186372,185560,956,17873,20.81,3.12,19673
2000,노원구,201204,634068,314064,320004,1434,17901,35.42,3.14,34789
2000,은평구,158856,470747,234001,236746,1330,15839,29.72,2.95,27282
2000,서대문구,131473,373105,185049,188056,5725,21199,17.6,2.79,23621
2000,마포구,141862,390101,193446,196655,2793,16336,23.88,2.73,24137
2000,양천구,155521,488282,246010,242272,1501,28062,17.4,3.13,23155
2000,강서구,173789,522962,260121,262841,1731,12635,41.39,3,26882
2000,구로구,135896,404786,206330,198456,1689,20129,20.11,2.97,18728
2000,금천구,91827,268768,137672,131096,2337,20674,13,2.9,12020
2000,영등포구,143085,409399,207962,201437,2889,16663,24.57,2.84,21765
2000,동작구,144888,417396,209958,207438,1504,25529,16.35,2.87,24057
2000,관악구,186734,525926,267989,257937,1522,17786,29.57,2.81,25208
2000,서초구,137997,401858,198026,203832,3989,8525,47.14,2.88,20130
2000,강남구,193101,555493,273122,282371,5150,14045,39.55,2.85,26987
2000,송파구,222053,665644,330881,334763,2467,19653,33.87,2.99,30709
2000,강동구,163345,497753,251027,246726,1204,20250,24.58,3.04,22997
2001,합계,3570228,10331244,5175786,5155458,67908,17062,605.52,2.87,585897
2001,종로구,70085,187038,94120,92918,2813,7823,23.91,2.63,15087
2001,중구,55409,146335,73524,72811,3319,14692,9.96,2.58,11190
2001,용산구,92239,250550,124586,125964,9517,11456,21.87,2.61,19142
2001,성동구,121565,343471,173713,169758,2096,20396,16.84,2.81,20345
2001,광진구,139190,390090,196416,193674,1981,22879,17.05,2.79,18755
2001,동대문구,138849,383822,194451,189371,2023,27011,14.21,2.75,25083
2001,중랑구,152708,449965,226046,223919,1037,24322,18.5,2.94,23493
2001,성북구,158642,453517,228040,225477,2915,18458,24.57,2.84,30674
2001,강북구,119814,352317,175958,176359,913,14929,23.6,2.93,21892
2001,도봉구,119856,372318,186441,185877,1059,17900,20.8,3.1,20869
2001,노원구,207842,648615,321219,327396,1710,18286,35.47,3.11,37166
2001,은평구,160274,469242,233493,235749,1523,15789,29.72,2.92,28984
2001,서대문구,132044,371316,183959,187357,5088,21098,17.6,2.77,25052
2001,마포구,140799,382195,189506,192689,3054,16012,23.87,2.69,24959
2001,양천구,156180,486095,244793,241302,1750,27936,17.4,3.1,24076
2001,강서구,175849,523542,260181,263361,2053,12649,41.39,2.97,27910
2001,구로구,140533,417453,212616,204837,2123,20758,20.11,2.96,20562
2001,금천구,91035,263061,134788,128273,2585,20235,13,2.86,12613
2001,영등포구,145093,409920,208380,201540,3060,16684,24.57,2.8,23222
2001,동작구,143095,407793,204604,203189,1677,24941,16.35,2.84,24976
2001,관악구,192531,529741,270515,259226,1977,17915,29.57,2.74,26697
2001,서초구,138387,397983,195954,202029,4134,8443,47.14,2.85,20609
2001,강남구,192505,546038,267550,278488,5398,13806,39.55,2.81,27193
2001,송파구,222337,658242,327198,331044,2759,19423,33.89,2.95,31777
2001,강동구,163367,490585,247735,242850,1344,19959,24.58,2.99,23571
2002,합계,3623929,10280523,5144833,5135690,73228,16978,605.52,2.82,612783
2002,종로구,70113,184224,92681,91543,2993,7705,23.91,2.58,15359
2002,중구,54521,141603,71109,70494,3469,14217,9.96,2.53,11491
2002,용산구,91735,245218,121976,123242,10565,11213,21.87,2.56,19845
2002,성동구,123394,343018,173092,169926,2245,20357,16.85,2.76,21473
2002,광진구,141367,388478,195109,193369,1967,22785,17.05,2.73,19425
2002,동대문구,143014,384356,194605,189751,2515,27029,14.22,2.67,26455
2002,중랑구,154085,443246,222571,220675,1121,23959,18.5,2.87,24470
2002,성북구,159810,446968,224099,222869,3159,18192,24.57,2.78,31766
2002,강북구,126252,362906,181219,181687,1010,15377,23.6,2.87,23881
2002,도봉구,122201,373086,186496,186590,1175,17937,20.8,3.04,22204
2002,노원구,209521,643585,318328,325257,1933,18170,35.42,3.06,39010
2002,은평구,164981,471873,234603,237270,1668,15877,29.72,2.85,30841
2002,서대문구,134023,368001,182013,185988,5387,20909,17.6,2.71,26332
2002,마포구,142790,378777,187632,191145,3360,15868,23.87,2.63,26000
2002,양천구,158639,486350,244649,241701,1832,27951,17.4,3.05,24898
2002,강서구,181422,530169,263064,267105,1848,12806,41.4,2.91,29465
2002,구로구,142342,415789,211626,204163,2426,20676,20.11,2.9,21674
2002,금천구,93056,264004,135105,128899,2591,20308,13,2.81,13563
2002,영등포구,147838,412152,209174,202978,3399,16775,24.57,2.76,24865
2002,동작구,144854,404872,202635,202237,1825,24763,16.35,2.78,26195
2002,관악구,197578,524560,267856,256704,2353,17740,29.57,2.64,28096
2002,서초구,138627,393583,193664,199919,4327,8346,47.16,2.81,21159
2002,강남구,193857,540813,264791,276022,5675,13678,39.54,2.76,27658
2002,송파구,223754,649888,322769,327119,2851,19176,33.89,2.89,32395
2002,강동구,164155,483004,243967,239037,1534,19650,24.58,2.93,24263
2003,합계,3714697,10276968,5133694,5143274,102882,16975,605.41,2.74,649755
2003,종로구,70288,181441,90978,90463,3922,7588,23.91,2.58,15981
2003,중구,54487,138798,69282,69516,4250,13932,9.96,2.55,12030
2003,용산구,93262,240723,119302,121421,8852,11006,21.87,2.58,21055
2003,성동구,126592,343929,173182,170747,4561,20416,16.85,2.72,22803
2003,광진구,144687,388659,194706,193953,3730,22793,17.05,2.69,20748
2003,동대문구,146457,386814,195488,191326,3939,27210,14.22,2.64,28229
2003,중랑구,156511,438011,219652,218359,1922,23672,18.5,2.8,25819
2003,성북구,167475,456535,228521,228014,3478,18584,24.57,2.73,34010
2003,강북구,129543,362094,180321,181773,1431,15341,23.6,2.8,25611
2003,도봉구,127264,378166,188711,189455,1567,18181,20.8,2.97,23997
2003,노원구,211144,633934,313254,320680,2003,17896,35.42,3,40763
2003,은평구,172761,476843,236811,240032,2065,16047,29.72,2.76,33084
2003,서대문구,134956,361754,178551,183203,6001,20537,17.61,2.68,27819
2003,마포구,149272,383629,189563,194066,4178,16070,23.87,2.57,27694
2003,양천구,163755,489257,245379,243878,2295,28118,17.4,2.99,26211
2003,강서구,189521,539673,267797,271876,2670,13037,41.4,2.85,31595
2003,구로구,146240,419438,213651,205787,6593,20853,20.11,2.87,23524
2003,금천구,95608,267355,136807,130548,6131,20561,13,2.8,14690
2003,영등포구,149948,410952,208336,202616,7625,16724,24.57,2.74,26549
2003,동작구,151694,413204,206499,206705,2844,25260,16.36,2.72,28281
2003,관악구,206087,526971,268960,258011,4515,17821,29.57,2.56,30187
2003,서초구,144165,400220,196071,204149,5463,8510,47.03,2.78,22430
2003,강남구,196628,536031,260868,275163,7054,13556,39.54,2.73,28467
2003,송파구,219648,623267,309170,314097,3753,18393,33.89,2.84,32650
2003,강동구,166704,479270,241834,237436,2040,19500,24.58,2.87,25528
2004,합계,3780305,10287847,5128752,5159095,114685,16994,605.39,2.69,693225
2004,종로구,70408,178574,89574,89000,4202,7468,23.91,2.54,16728
2004,중구,54419,136585,68000,68585,4614,13712,9.96,2.51,12603
2004,용산구,94788,239070,118215,120855,8963,10933,21.87,2.52,22063
2004,성동구,128964,343992,173076,170916,4879,20419,16.85,2.67,24423
2004,광진구,145430,384681,192198,192483,4144,22560,17.05,2.65,22040
2004,동대문구,148168,383896,193487,190409,4492,27005,14.22,2.59,29972
2004,중랑구,158283,436063,218049,218014,2205,23567,18.5,2.75,27793
2004,성북구,169704,455041,226983,228058,3919,18523,24.57,2.68,36159
2004,강북구,131995,362275,180142,182133,1750,15348,23.6,2.74,27719
2004,도봉구,131129,383611,190892,192719,1672,18444,20.8,2.93,26190
2004,노원구,212531,630555,311108,319447,2371,17800,35.42,2.97,42992
2004,은평구,177305,480320,238149,242171,2233,16164,29.71,2.71,35800
2004,서대문구,136146,358186,176266,181920,6115,20336,17.61,2.63,29772
2004,마포구,153994,388111,191313,196798,4654,16257,23.87,2.52,29557
2004,양천구,169326,497642,249311,248331,2544,28600,17.4,2.94,28170
2004,강서구,193973,544762,270057,274705,3091,13159,41.4,2.81,33752
2004,구로구,150568,424725,215953,208772,7897,21116,20.11,2.82,25489
2004,금천구,96632,266047,135963,130084,6414,20456,13.01,2.75,15919
2004,영등포구,154167,415889,210440,205449,9628,16930,24.56,2.7,28839
2004,동작구,154625,414199,206439,207760,3254,25324,16.36,2.68,30183
2004,관악구,214261,535688,272997,262691,5532,18116,29.57,2.5,32830
2004,서초구,148608,406752,198672,208080,5884,8647,47.04,2.74,23994
2004,강남구,201571,539333,261704,277629,7816,13640,39.54,2.68,30007
2004,송파구,216434,608439,301439,307000,4146,17961,33.88,2.81,33563
2004,강동구,166876,473411,238325,235086,2266,19262,24.58,2.84,26668
